-1.8051	1.8894
0.4079	0.6092
2.8890	0.6508
6.1049	4.0299
5.7638	3.5525
5.7869	5.0582
7.5039	4.4769
8.3952	5.0760
10.2397	4.5244
10.1100	2.8922
10.4527	5.4455
12.0301	8.0817
12.7409	4.5430
15.2816	6.0521
13.8206	6.7375
16.5261	5.2810
15.4876	7.2350
16.6401	6.3588
16.4655	7.7339
15.0387	10.4749
16.4702	10.5326
18.0884	12.2422
17.3139	11.2169
19.7696	12.9852
18.3372	15.3291
20.6699	20.4637
21.0123	19.7849
22.1929	24.6281
22.8621	25.8574
21.9244	30.0561
27.3589	33.1400
27.5236	34.5643
29.7304	39.4017
30.7997	42.7126
32.0904	44.9782
37.4799	47.5903
36.2147	51.5987
37.9440	56.2939
35.7581	60.4355
35.5312	65.0222
34.7175	66.2982
33.8617	66.8902
34.5278	72.3456
34.2306	74.6738
32.0141	77.6384
35.2248	77.0956
34.5276	80.9448
32.4084	83.5903
32.2273	85.5596
32.5729	89.1265
33.0450	88.5941
36.4545	95.0038
38.2567	92.7261
40.7497	91.2484
41.5782	94.2457
42.1871	93.3205
44.5802	93.7043
48.3843	93.6662
50.0044	92.2517
50.6950	93.7742
54.1844	90.0444
56.8044	90.0736
59.8226	92.8577
62.9384	90.5234
64.3793	90.5400
67.3024	89.2234
70.7593	91.1312
68.7862	90.2469
68.2331	89.8378
68.9901	89.9028
72.9294	90.3765
72.0041	92.1960
73.1570	92.9942
69.2622	94.3610
71.5516	93.1791
72.1038	96.4964
74.1760	96.6227
72.4918	95.6764
74.6343	94.9419
77.9120	96.6956
76.8974	95.6810
80.7467	97.6909
82.7938	97.8801
81.8327	102.4365
82.9486	101.2931
84.1294	106.9745
83.8827	107.0483
85.9357	109.6363
86.0298	111.7095
86.5182	115.4934
87.9014	123.5102
89.8483	127.6979
92.8308	129.1439
92.4057	137.3535
97.0400	142.4420
97.9643	146.5961
99.9804	155.9620
100.6921	157.2569
100.0302	160.5721
104.0723	168.7150
